symbol,week,open,high,low,close
AAPL,2025-10-06 00:00:00,254.94,258.0,244.0,254.04
AAPL,2025-10-13 00:00:00,248.02,253.38,244.7,247.66
AAPL,2025-10-20 00:00:00,261.19,265.29,255.43,262.24
AAPL,2025-10-27 00:00:00,264.88,277.32,264.6501,269.0
AAPL,2025-11-03 00:00:00,269.795,273.4,266.25,269.05
AAPL,2025-11-10 00:00:00,271.05,276.699,267.455,269.43
AAPL,2025-11-17 00:00:00,265.95,275.43,265.32,267.46
AAPL,2025-11-24 00:00:00,277.26,280.38,270.9,275.92
AAPL,2025-12-01 00:00:00,283.0,288.62,276.14,284.15
AAPL,2025-12-08 00:00:00,277.9,280.03,273.81,277.89
AAPL,2025-12-15 00:00:00,272.145,280.15,266.95,274.11
AAPL,2025-12-22 00:00:00,274.16,275.43,269.56,270.97
AAPL,2025-12-29 00:00:00,272.255,277.84,269.0,273.76
AAPL,2026-01-05 00:00:00,257.02,271.51,255.7,259.37
AAPL,2026-01-12 00:00:00,257.9,261.82,254.93,260.25
AAPL,2026-01-19 00:00:00,247.32,254.79,243.42,246.7
AAPL,2026-01-26 00:00:00,255.165,261.95,249.8,255.41
AAPL,2026-02-02 00:00:00,277.12,280.905,259.205,270.01
AAPL,2026-02-09 00:00:00,262.01,280.18,255.45,274.62
AAPL,2026-02-16 00:00:00,258.97,266.82,255.54,263.88
AAPL,2026-02-23 00:00:00,272.81,276.11,262.89,266.18
AAPL,2026-03-02 00:00:00,264.65,266.53,260.13,264.72
